name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi Set ,Set-9463-56-Vl ,Elegant Vilandi set designed with Acute Stone  and Meenakari ,,,,,10,15500,15500,,,,,"Set-9463-56-01 (1).jpg,Set-9463-56-01 (3).jpg,Set-9463-56-01 (4).jpg",Vilandi Necklace Set,"Elegant Vilandi set designed with Acute Stone , Meenakari "
Vilandi Set,Set-8531-13-VL ,Marvelous Vilandi set designed with Acute Stone and  Ruby Invisible Setting ,,,,,10,26800,26800,,,,,Set-8531-13-VL.jpg,Vilandi Necklace Set,"Marvelous Vilandi set designed with Acute Stone , Ruby Invisible Setting "
Vilandi Set ,Set-8492-13-VL,"Dynasty and  highly creative Vilandi set designed with American Diamond , Ruby Invisible Stone and Amberal Beats ",,,,,10,22760,22760,,,,,Set-8492-13-VL.jpg,Vilandi Necklace Set,"Dynasty and  highly creative Vilandi set designed with American Diamond , Ruby Invisible Stone and Amberal Beats "
Vilandi Set,Set-8534-16-VL ,"Amazing and beautiful Vilandi set designed with American Diamond , Acute Stone and Meenakari , Creation Set ",,,,,10,33500,33500,,,,,"Set-8534-16-01 (3).jpg,Set-8534-16-01 (4).jpg",Vilandi Necklace Set,"Amazing and beautiful Vilandi set designed with American Diamond , Acute Stone and Meenakari , Creation Set "
Vilandi Set ,Set-8463-56-VL,Gorgeous Vilandi set designed with Acute Stone and Meenakar,,,,,10,23995,23995,,,,,"Set-8463-56-01 (1).jpg,Set-8463-56-05.jpg",Vilandi Necklace Set,Gorgeous Vilandi set designed with Acute Stone and Meenakar
Vilandi Set ,Set-9466-56-VL ,Elegant Vilandi set Acute Stone and Meenakar,,,,,10,15550,15550,,,,,"Set-9466-56-01 (1).jpg,Set-9466-56-01 (3).jpg,Set-9466-56-01 (5).jpg",Vilandi Necklace Set,Elegant Vilandi set Acute Stone and Meenakar
Vilandi Set ,Set-9480-13-VL ,Adorable Vilandi set designed with Acute Stone and Meenakar,,,,,10,16000,16000,,,,,"Set-9480-13-01 (1).jpg,Set-9480-13-01 (3).jpg",Vilandi Necklace Set,Adorable Vilandi set designed with Acute Stone and Meenakar
Vilandi Set ,Set-8614-24-VL ,Artistic designed Vilandi set designed with Fresh Water Pearl  and American Diamond ,,,,,10,15600,15600,,,,,"Set-8614-24-01 (1).jpg,Set-8614-24-01 (3).jpg,Set-8614-24-01 (4).jpg",Vilandi Necklace Set,"Artistic designed Vilandi set designed with Fresh Water Pearl , American Diamond "
Vilandi Set ,Set-9475-56-VL ,Stunning and fashionable Vilandi set designed with  Acute Stone  and Meenakari ,,,,,10,13500,13500,,,,,"Set-9475-56-01- (1).jpg,Set-9475-56-01- (3).jpg,Set-9475-56-01- (4).jpg,Set-9475-56-01- (5).jpg",Vilandi Necklace Set,"Stunning and fashionable Vilandi set designed with  Acute Stone , Meenakari "
Vilandi Set ,Set-8768-57-Vl ,"Sparkling  Vilandi  set with Acute Stone , Fresh Water Pearl  and Meenakari ",,,,,10,22500,22500,,,,,"Set-8768-57-01 (1).jpg,Set-8768-57-01 (3).jpg,Set-8768-57-01 (4).jpg,Set-8768-57-01 (5).jpg",Vilandi Necklace Set,"Sparkling  Vilandi  set with Acute Stone , Fresh Water Pearl  and Meenakari "
Vilandi Set ,Set-7919-16-Vl ,Gorgeous Vilandi set designed with Acute Stone and Ruby Invisible Setting  Stone ,,,,,10,38000,38000,,,,,"Set-7919-16-01 (1).jpg,Set-7919-16-01 (4).jpg,Set-7919-16-01 (5).jpg",Vilandi Necklace Set,"Creation Set, Acute Stone and Ruby Invisible Setting  Stone "
Vilandi Set,Set-8470-56-VL,Unique Vilandi set designed with Acute Stone and Meenakari ,,,,,10,12500,12500,,,,,"Set-8470-56-01 (1).jpg,Set-8470-56-01 (3).jpg,Set-8470-56-01 (4).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Acute Stone and Meenakari 
Vilandi Set ,Set-9160-55-VL ,Marvelous Vilandi set designed with Acute Stone and Meenakari ,,,,,10,30750,30750,,,,,"Set-9160-55-01 (1).jpg,Set-9160-55-01 (3).jpg,Set-9160-55-01 (4).jpg",Vilandi Necklace Set,Marvelous Vilandi set designed with Acute Stone and Meenakari 
Vilandi Set ,Set-8466-56-VL ,Artistic Acute Stone and Meenakari ,,,,,10,13995,13995,,,,,"Set-8466-56-01 (1).jpg,Set-8466-56-01 (4).jpg,Set-8466-56-01 (5).jpg",Vilandi Necklace Set,Artistic Acute Stone and Meenakari 
Vilandi Set ,Set-9444-55-VL ,Unique Vilandi set designed with Acute Stone and Meenakari ,,,,,10,15500,15500,,,,,"Set-9444-55-01 (3).jpg,Set-9444-55-01 (4).jpg,Set-9444-55-01-VL.jpg",Vilandi Necklace Set,Unique Vilandi set designed with Acute Stone and Meenakari 
Vilandi Set ,Set-8464-56-VL ,Designer Vilandi sety with Acute Stone and Meenakari ,,,,,10,28995,28995,,,,,"Set-8464-56-01 (1).jpg,Set-8464-56-01 (3).jpg,Set-8464-56-01 (4).jpg",Vilandi Necklace Set,Designer Vilandi sety with Acute Stone and Meenakari 
Vilandi Set ,Set-9489-24-VL,Gold Plated Chain and Ruby Invisible Setting  and Fresh Water Pearl ,,,,,10,29800,29800,,,,,Set-9489-24-VL.jpg,Vilandi Necklace Set,"Gold Plated Chain and Ruby Invisible Setting , Fresh Water Pearl "
Kundan ,Set-9456-100-KD,Dazzling Kundan with Gold Plated Polish and Meenakari ,,,,,10,15500,15500,,,,,"Set-9456-100-01 (1).jpg,Set-9456-100-01 (3).jpg,Set-9456-100-01 (4).jpg",Kundan ,"Dazzling Kundan with Gold Plated Polish, Meenakari "
Vilandi Set,Set-7828-16-VL,Exquisite Vilandi set designed with Creation Set and Acute Stone ,,,,,10,15500,15500,,,,,"Set-7828-16-01 (1).jpg,Set-7828-16-01 (3).jpg,Set-7828-16-01 (4).jpg",Vilandi Necklace Set,"Exquisite Vilandi set designed with Creation Set, Acute Stone "
